Behavior,Trigger Rule,Collection Name,Handle,Layer,Where It Appears,Parents / Depends On,Full Auto Tags - ADD,Remove Tags,Auto Vendor,Auto Type,Auto CMS Collection,Auto Product Category,Auto Google Product Category,Auto Design (apply when trigger fires),Auto Colour Style (apply when trigger fires),Auto Jewelry Type,Auto Target Gender,Auto Age Group,Auto Status,Flag,Notes,Source Refs
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Livi Road Bracelets,livi-road-bracelets,Brand + type,Shop By Collection under a type mega-menu,Livi Road + Bracelets,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,Mack example: bracelet + Livi Road => tags livi-road AND bracelets (and livi-road-bracelets).,Bracelets!18
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Elevated Basics Bracelets,elevated-basics-bracelets,Brand + type,Shop By Collection under a type mega-menu,Elevated Basics + Bracelets,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!19
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Elements of Desire Bracelets,elements-of-desire-bracelets,Brand + type,Shop By Collection under a type mega-menu,Elements of Desire + Bracelets,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!20
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,LIVI ROAD BRIGHTS,livi-road-brights,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, brights-livi-road, brights-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!22
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,LIVI ROAD BURNT & BRAVE,livi-road-burnt-brave,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, burnt-and-brave-livi-road, earthy-and-natural-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!23
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,LIVI ROAD GOLD & BLACK,livi-road-gold-black,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, gold-and-black-livi-road, gold-and-black-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!24
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Gold & White,livi-road-gold-and-white,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, gold-and-white-livi-road, gold-and-white-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!25
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Black & Bold,livi-road-black-and-bold,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, black-and-bold-livi-road, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!26
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Pastels,livi-road-pastels,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, pastels-livi-road, pastels-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!27
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Solids,livi-road-solids,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, solids-livi-road, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!28
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Golds,gold-livi-road,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, gold-livi-road, gold-bracelets, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!29
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Livi Road Slims,livi-road-slims,Brand style subcollection,Livi Road Shop Your Vibe / brand landing,Livi Road + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, livi-road, bracelets, bracelet, livi-road-bracelets, slims, exclude-from-the-sale",,Livi Road,Bracelets,Livi Road,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,Own tag is slims (11). Consider livi-road-slims later for consistency.,Bracelets!30
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Elevated Basics Brights,elevated-basics-brights,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, brights-elevated-basics, brights-bracelets, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!31
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS BURNT & BRAVE,elevated-basics-burnt-brave,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, burnt-and-brave-elevated-basics, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!32
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS GOLD & BLACK,elevated-basics-gold-black,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, gold-and-black-elevated-basics, gold-and-black-bracelets, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!33
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS GOLD & WHITE,elevated-basics-gold-white,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, gold-and-white-elevated-basics, gold-and-white-bracelets, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!34
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Elevated Basics Gold & Nude,elevated-basics-gold-nude,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, gold-and-nude-elevated-basics, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!35
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS GOLDEN HALOS,elevated-basics-golden-halos,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, golden-halos-elevated-basics, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!36
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS TILA,elevated-basics-tila,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, tila-elevated-basics, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!37
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEVATED BASICS WRAPS,elevated-basics-wraps,Brand style subcollection,Elevated Basics Shop Your Vibe / brand landing,Elevated Basics + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elevated-basics, bracelets, bracelet, elevated-basics-bracelets, wraps-elevated-basics, exclude-from-the-sale",,Elevated Basics,Bracelets,Elevated Basics,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!38
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pata Pata Brights,pata-pata-brights,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, brights-pata-pata, brights-bracelets, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!39
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pata Pata Darks,pata-pata-darks,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, darks-pata-pata, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!40
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pata Pata Earthy,pata-pata-earthy,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, earthy-pata-pata, earthy-and-natural-bracelets, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!41
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pata Pata Ocean Blues,pata-pata-ocean-blues,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, ocean-blues-pata-pata, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!42
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pata Pata Pastels,pata-pata-pastels,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, pastels-pata-pata, pastels-bracelets, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!43
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,PATA PATA SOLIDS,pata-pata-solids,Brand style subcollection,Pata Pata Shop Your Vibe / brand landing,Pata Pata + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, solids-pata-pata, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!44
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEMENTS OF DESIRE: BOUND BY LUCK,elements-of-desire-bound-by-luck-2,Brand style subcollection,Elements of Desire Shop Your Vibe / brand landing,Elements of Desire + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, bound-by-luck, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!45
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEMENTS OF DESIRE: DUAL STRINGS,elements-of-desire-dual-strings,Brand style subcollection,Elements of Desire Shop Your Vibe / brand landing,Elements of Desire + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, dual-strings, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!46
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEMENTS OF DESIRE: EYES OF FORTUNE,elements-of-desire-eyes-of-fortune-2,Brand style subcollection,Elements of Desire Shop Your Vibe / brand landing,Elements of Desire + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, eyes-of-fortune, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!47
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,ELEMENTS OF DESIRE: OCEAN ESSENCE,elements-of-desire-ocean-essence-2,Brand style subcollection,Elements of Desire Shop Your Vibe / brand landing,Elements of Desire + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, ocean-essence, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,ADDED,,Bracelets!48
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Bracelets Sale,bracelets-sale,Sale,Sale mega-menu / sale landing,SALE + Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, bracelets-sale, sale",exclude-from-the-sale,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,Sale collections overlap: brand sale + type sale + main Sale should all receive the product.,Bracelets!50; Sale!7
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Pata Pata Bracelets,pata-pata-bracelets,Brand + type,Shop By Collection under a type mega-menu,Pata Pata + Bracelets,"all-products, all-products-collection, all-products-collections, pata-pata, bracelets, bracelet, pata-pata-bracelets, exclude-from-the-sale",,Pata Pata,Bracelets,Pata Pata,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,TYPO IN LIVE TAGS,LIVE products currently use typo tag pata-ta-bracelets (30 products). New products should use pata-pata-bracelets. Ask Mack to alias both in the smart collection until cleaned.,Bracelets!52
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Pearl Bracelets,pearl-bracelets,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, pearl-elevated-basics, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,UNSURE,Own tag is pearl-elevated-basics even though pearls also exist in other brands. Confirm with Mack if non-EB pearls should still get this tag.,Bracelets!53
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Elements of Desire: Purely Pearl,elements-of-desire-purely-pearl,Brand style subcollection,Elements of Desire Shop Your Vibe / brand landing,Elements of Desire + Bracelets + matching Shop Your Vibe style if one exists,"all-products, all-products-collection, all-products-collections, elements-of-desire, bracelets, bracelet, elements-of-desire-bracelets, purely-pearl, pearl-elevated-basics, exclude-from-the-sale",,Elements of Desire,Bracelets,Elements of Desire,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,UNSURE,Pearl overlap with Pearl Bracelets vibe. purely-pearl vs pearl-elevated-basics may both be needed.,Bracelets!54
